guna_word;spanish_word;synonyms
Gwabbiddi;Nuevo;Reciente, Novedoso, , , 
Binid;Nuevo;Reciente, , , , 
Binidi;Nuevo;Reciente, , , , 
Gwabboed;Fallar el tiro;Errar, , , , 
Dalloed;Fallar el tiro;Errar, , , , 
Dalloged;Fallar el tiro;Errar, , , , 
Gwabin;Lengua;Habla, Idioma, , , 
Gwable;Todo;Todos, , , , 
Aggwasalu;Longorón o molusco ;Molusco
Gwada;Gelatina de maíz con jugo de caña;
Gwaddired;Equivocarse;Faltar en algo, No proceder bien, , , 
Gwargwad;Papaya;
Gwae;Rápido;Ligero, Expedito, , , 
Gwaegwae;Muy rápido;Urgente, Muy ligero, , , 
Gwag;Semilla;Simiente, , , , 
Gwagwa;Semilla;Simiente, , , , 
Gwage;Corazón;
Gwegi;Corazón;
Gwaged;Cambiar;
Aggwaser;Araña venenosa;
Gwaggu;Variedad de pez del río;
Gwaggwa;Loro;Cotorra, , , , 
Gwaggwarmagged;Hervir;Cocer, , , , 
Gwagonoged;Despepitar;Castrar, , , , 
Gwasued;Castrar;
Gwala;Escoba;
Gwalu;camote;
Gwaluleged;Nacer;Nacimiento, , , , 
Gwallu;Lámpara. Luz;Candil, Farol, , , 
Gwalludii;Querosin;
Aggwasib;Piedra pómez;
Gwalludub;Mecha de lámpara ocandil;
Gwalluduba;Mecha de lámpara o candil;
Gwama;Chachalaca;Pava cimba, , , , 
Gwamagged;Compactar;
Gwamudiggid;Fornido;Grueso, Corpulento, , , 
Gwaned;Desgranar;Hacer caer frutas, , , , 
Gwaregware;Resbaloso;Deslizadiso, , , , 
Masimasi;Resbaloso;
Swanswan;Resbaloso;
Gwarugwa;Recién nacido;Bebé, , , , 
Aggwasibu;Piedra pómez;
Gwasir;Cocaleca gris;
Gwasued;Despepitar;Quitar semillas, , , , 
Gwagonoged;Despepitar;Quitar semillas, , , , 
Gwayed;Asustarse;Espantarse, , , , 
Dobgued;Asustarse;Espantarse, , , , 
Gwebur;Pueblo;Poblado, Aldea, Comunidad, , 
Neggwebur;Pueblo;poblado, Aldea, Comunidad, , 
Gwenad;Pariente;Familiar, hermano, Hermana, , 
Gwenaddigwar;En hermandad;Fraternidad, , , , 
Gwenaddigwale;En hermandad;Fraternidad, , , , 
Aggwed;Acudiente;Acudido, , , , 
